,Date,Count
171,22/07/08 03:00:00,181
172,22/07/08 04:00:00,56
173,22/07/08 05:00:00,333
174,22/07/08 06:00:00,967
175,22/07/08 07:00:00,2218
176,22/07/08 08:00:00,4635
177,22/07/08 09:00:00,4483
178,22/07/08 10:00:00,2757
179,22/07/08 11:00:00,3974
180,22/07/08 12:00:00,3213
181,22/07/08 13:00:00,2364
182,22/07/08 14:00:00,2375
183,22/07/08 15:00:00,1219
184,22/07/08 16:00:00,1172
185,22/07/08 17:00:00,624
186,22/07/08 18:00:00,316
187,22/07/08 19:00:00,70
188,22/07/08 20:00:00,241
189,22/07/08 21:00:00,245
190,22/07/08 22:00:00,219
191,22/07/08 23:00:00,180
192,22/07/09 00:00:00,125
193,22/07/09 01:00:00,191
194,22/07/09 02:00:00,127
195,22/07/09 03:00:00,223
196,22/07/09 04:00:00,188
197,22/07/09 05:00:00,340
198,22/07/09 06:00:00,1085
199,22/07/09 07:00:00,1741
200,22/07/09 08:00:00,1803
201,22/07/09 09:00:00,1520
202,22/07/09 10:00:00,1163
203,22/07/09 11:00:00,1067
204,22/07/09 12:00:00,1017
205,22/07/09 13:00:00,939
206,22/07/09 14:00:00,652
207,22/07/09 15:00:00,499
208,22/07/09 16:00:00,313
209,22/07/09 17:00:00,224
210,22/07/09 18:00:00,144
211,22/07/09 19:00:00,60
212,22/07/09 20:00:00,151
213,22/07/09 21:00:00,128
214,22/07/09 22:00:00,100
215,22/07/09 23:00:00,85
216,22/07/10 00:00:00,49
217,22/07/10 01:00:00,70
218,22/07/10 02:00:00,58
219,22/07/10 03:00:00,37
220,22/07/10 04:00:00,13
221,22/07/10 05:00:00,45
222,22/07/10 06:00:00,327
223,22/07/10 07:00:00,547
224,22/07/10 08:00:00,378
225,22/07/10 09:00:00,446
226,22/07/10 10:00:00,704
227,22/07/10 11:00:00,624
228,22/07/10 12:00:00,594
229,22/07/10 13:00:00,441
230,22/07/10 14:00:00,330
231,22/07/10 15:00:00,283
232,22/07/10 16:00:00,154
233,22/07/10 17:00:00,95
234,22/07/10 18:00:00,51
235,22/07/10 19:00:00,25
236,22/07/10 20:00:00,34
237,22/07/10 21:00:00,23
238,22/07/10 22:00:00,24
239,22/07/10 23:00:00,17
240,22/07/11 00:00:00,49
241,22/07/11 01:00:00,57
242,22/07/11 02:00:00,108
243,22/07/11 03:00:00,84
244,22/07/11 04:00:00,43
245,22/07/11 05:00:00,316
246,22/07/11 06:00:00,877
247,22/07/11 07:00:00,1769
248,22/07/11 08:00:00,2354
249,22/07/11 09:00:00,2180
250,22/07/11 10:00:00,2092
251,22/07/11 11:00:00,1846
252,22/07/11 12:00:00,2078
253,22/07/11 13:00:00,2256
254,22/07/11 14:00:00,2121
255,22/07/11 15:00:00,1243
256,22/07/11 16:00:00,975
257,22/07/11 17:00:00,704
258,22/07/11 18:00:00,309
259,22/07/11 19:00:00,109
260,22/07/11 20:00:00,349
261,22/07/11 21:00:00,184
262,22/07/11 22:00:00,83
263,22/07/11 23:00:00,43
264,22/07/12 00:00:00,147
265,22/07/12 01:00:00,395
266,22/07/12 02:00:00,173
267,22/07/12 03:00:00,208
268,22/07/12 04:00:00,105
269,22/07/12 05:00:00,456
270,22/07/12 06:00:00,983
271,22/07/12 07:00:00,2193
272,22/07/12 08:00:00,4857
273,22/07/12 09:00:00,5139
274,22/07/12 10:00:00,2852
275,22/07/12 11:00:00,4015
276,22/07/12 12:00:00,3064
277,22/07/12 13:00:00,3208
278,22/07/12 14:00:00,2772
279,22/07/12 15:00:00,1891
280,22/07/12 16:00:00,1215
281,22/07/12 17:00:00,801
282,22/07/12 18:00:00,326
283,22/07/12 19:00:00,126
284,22/07/12 20:00:00,359
285,22/07/12 21:00:00,402
286,22/07/12 22:00:00,336
287,22/07/12 23:00:00,172
288,22/07/13 00:00:00,260
289,22/07/13 01:00:00,264
290,22/07/13 02:00:00,203
291,22/07/13 03:00:00,208
292,22/07/13 04:00:00,40
293,22/07/13 05:00:00,242
294,22/07/13 06:00:00,833
295,22/07/13 07:00:00,2113
